제목,내용
젠슨 황 엔비디아 CEO “데이터는 뉴 소스코드…딥러닝에 올인”, 기조연설에서 “딥러닝 기술이 인공지능(AI)을 변혁했다(revolutionized)”며 이같이 말했다. 데이터가... ‘컴퓨팅의 미래(The future of computing)’란 주제로 진행한 기조연설에서 황 CEO는 AI·딥러닝 관련 기술과... 
7월 제주에서 ‘딥러닝 캠프’ 열린다," 위한 ‘딥러닝 캠프 제주 2018’이 7월 2일~31일 제주에서 열린다.딥러닝 캠프 제주 2018은 텐서플로 코리아(TensorFlow Korea)에서 주최하고, △구글 △카카오 브레인 △넷마블 △SK텔레콤이 후원한다. 제주대학교가... "
검사 데이터만으로 전립선암 발병 예측…전이 조기 차단 가능," 특허는 ▲예측 데이터를 이용한 전립선암 치료 계획 시스템 ▲시계열 검진 데이터를 이용한 딥러닝 기반... '시계열 검진 데이터를 이용한 딥러닝 기반 전립선암 재발예측 시스템'은 전립선 특이항원검사(PSA, Prostate... "
"[Smart Factory+Automation World 2018] 수아랩, 딥러닝 머신비전 소프트웨어...", SUALAB은 기존의 기술로는 해결하기 어려운 영역 및 다양한 산업군에서 딥러닝 알고리즘을 통한 불량 검사 및 분류 등의 새로운 가치를 창출한다. 인공지능을 기반으로 한 딥러닝 머신비전 솔루션 프로바이더... 
젠슨 황 엔비디아 CEO “데이터는 뉴 소스코드…딥러닝에 올인”, 기조연설에서 “딥러닝 기술이 인공지능(AI)을 변혁했다(revolutionized)”며 이같이 말했다. 데이터가... ‘컴퓨팅의 미래(The future of computing)’란 주제로 진행한 기조연설에서 황 CEO는 AI·딥러닝 관련 기술과... 
"메디플렉스 세종병원, 심전도로 판막질환 진단 딥러닝 알고리즘 개발"," 이번 연구는 인공지능빅데이터팀이 심전도를 사용하여 대동맥판막협착증을 진단하는 딥러닝 알고리즘을 개발하고, 정확도를 확인하기 위해 진행됐다. 대동맥판막협착증은 심장의 좌심실과 대동맥 사이의 역류를... "
"코그넥스, 딥러닝 기반 머신비전 솔루션 '비디 스위트' 출시", 머신비전 업체 코그넥스코리아는 딥러닝 기반 산업 이미지 분석 소프트웨어(SW) '코그넥스 비디 스위트(Cognex... 코그넥스는 머신비전에 딥러닝 기술을 접목해 전통적인 머신비전이 해결할 수 없었던 문제를 해결했다.... 
"삼성전자, 모바일AP ‘엑시노스7(9610)’ 공개…딥러닝·안면인식 강화"," 이미지 처리속도·멀티미디어 기능 개선 엑시노스7(9610), 올 하반기 양산 예정 삼성전자가 딥러닝과... 적용하고 딥러닝 기반 이미지 처리 기능 등 최첨단 기술을 탑재해, 경쟁력을 강화하고 고객 선택... "
"카이스트, 딥러닝 이용 인터넷 비디오 전송 기술 개발"," KAIST 전기및전자공학부 신진우, 한동수 교수 연구팀이 딥러닝 기술을 이용한 인터넷 비디오 전송 기술을... 전송기술과 딥러닝 기술인 심층 콘볼루션 신경망(CNN) 기반의 초해상화를 접목한 새로운 방식이다. 이는... "
"KAIST, 영상 스트리밍 '딥러닝'…속도 느려도 고화질 '활짝'"," 낮은 인터넷 속도를 극복할 수 있는 딥러닝 기반 영상 화질 개선 스트리밍 기술이 개발됐다. 한국과학기술원(KAIST, 총장 신성철)은 전기전자공학부 신진우, 한동수 교수 연구팀이 딥러닝 기술을 이용한 인터넷 비디오... "
대동맥판막협착증 딥러닝 알고리즘 '정확', 이번 연구는 인공지능빅데이터연구팀이 심전도를 사용해 '대동맥판막협착증'을 진단하는 딥러닝 알고리즘을 개발하고 정확도를 확인하기 위해 진행됐다. 대동맥판막협착증은 심장의 좌심실과 대동맥 사이의... 
"삼성전자, 딥러닝 강화한 모바일AP '엑시노스7' 공개"," 삼성전자가 딥러닝과 이미지 처리 기능을 강화한 엑시노스 7 시리즈 신제품(엑시노스 7 9610)을 22일... 적용하고 딥러닝 기반 이미지 처리 기능 등 최첨단 기술을 탑재해, 경쟁력을 강화하고 고객 선택의 폭을... "
"카이스트, 딥러닝 이용 인터넷 비디오 전송 기술 개발"," KAIST 전기및전자공학부 신진우, 한동수 교수 연구팀이 딥러닝 기술을 이용한 인터넷 비디오 전송 기술을... 전송기술과 딥러닝 기술인 심층 콘볼루션 신경망(CNN) 기반의 초해상화를 접목한 새로운 방식이다. 이는... "
"KAIST, 영상 스트리밍 '딥러닝'…속도 느려도 고화질 '활짝'"," 낮은 인터넷 속도를 극복할 수 있는 딥러닝 기반 영상 화질 개선 스트리밍 기술이 개발됐다. 한국과학기술원(KAIST, 총장 신성철)은 전기전자공학부 신진우, 한동수 교수 연구팀이 딥러닝 기술을 이용한 인터넷 비디오... "
대동맥판막협착증 딥러닝 알고리즘 '정확', 이번 연구는 인공지능빅데이터연구팀이 심전도를 사용해 '대동맥판막협착증'을 진단하는 딥러닝 알고리즘을 개발하고 정확도를 확인하기 위해 진행됐다. 대동맥판막협착증은 심장의 좌심실과 대동맥 사이의... 
"“우리 교수님은 AI?” 인천대, 인공지능 강의 나왔다", 딥브레인AI는 김 교수의 강의를 토대로 대본을 제작해 딥러닝 학습을 진행했다. 딥브레인AI는 교수를 AI휴먼으로 구현한 것은 이번이 처음이라고 전했다. ‘AI 김평원’ 교수는 음성 합성 기술인 ‘TTS’로 영어... 
딥러닝 기술로 효소 기능 나타내는 'EC 번호' 예측, 공동연구팀이 딥러닝 기술로 효소의 기능을 신속하고 정확하게 예측하는 컴퓨터 방법론 'DeepEC'를... 이에 공동연구팀은 138만8606개의 단백질 서열과 EC 정보를 담은 바이오 빅데이터에 딥러닝 기술을... 
[기고_조동진 육군중령] AI 영상 분석모델의 가치, 조동진 합참 분석실험실 육군중령 인공지능(AI)은 딥러닝과 같은 데이터 학습 방법과 고성능 하드웨어(CPU... 특히 수년 전부터 민간 분야에서 활발하게 활용 중인 딥러닝 기반의 ‘객체검출(object detection)’ 방법은... 
[오토메이션 월드 2018 참가업체 인터뷰-⑫ 코그넥스코리아 조재휘 지사장] “..., 독보적인 비전 소프트웨어 알고리즘을 바탕으로 기존 비전 시스템뿐만 아니라 3D 및 딥러닝 기반의 비전... 및 딥러닝 기반의 비전 솔루션에 집중할 계획이다. 더불어 전통적인 주력 산업 분야인 전자산업 및 자동차... 
[#IT라운지] '포동' 반려견 물림사고 예방·보스아고라-로똔다 '파트너십'·딥..., 가상인간은 딥러닝 기반의 페이스 스왑 기술이 적용됐다. 페이스 스왑은 사진 혹은 영상에 있는 얼굴을 인식하여 얼굴 부분을 변환시키는 안면 교체 기술이다. 국내 최초로 실제 사람이 아닌 AI 기반으로 생성된 얼굴... 
"YH데이터베이스, 신제품 딥러닝 기반 이상금융거래 탐지 출시"," 와이-스마트딥(y-SmartDeep), 룰 기반과 딥러닝 기반 결합한 하이브리드 방식[보안뉴스 ] 다양한 보안... 빅데이터 딥러닝 제품인 ‘와이-스마트딥(y-SmartDeep)’ 신제품 출시를 통해 금융기관 및 공공기관 고객들과... "
"한국과학기술원(KAIST) 연구팀, 딥러닝 기술 이용한 인터넷 비디오 전송 기술...", KAIST는 “신진우 전기및전자공학부와 한동수 교수 연구팀이 딥러닝 기술을 이용한 인터넷 비디오 전송... 전송기술’과 딥러닝 기술인 ‘심층 콘볼루션 신경망(CNN) 기반의 초해상화’를 접목한 새로운 방식이다. 이는... 
대동맥판막협착증 딥러닝 알고리즘 '정확', 이번 연구는 인공지능빅데이터연구팀이 심전도를 사용해 '대동맥판막협착증'을 진단하는 딥러닝 알고리즘을 개발하고 정확도를 확인하기 위해 진행됐다. 대동맥판막협착증은 심장의 좌심실과 대동맥 사이의... 
"“우리 교수님은 AI?” 인천대, 인공지능 강의 나왔다", 딥브레인AI는 김 교수의 강의를 토대로 대본을 제작해 딥러닝 학습을 진행했다. 딥브레인AI는 교수를 AI휴먼으로 구현한 것은 이번이 처음이라고 전했다. ‘AI 김평원’ 교수는 음성 합성 기술인 ‘TTS’로 영어... 
딥러닝 기술로 효소 기능 나타내는 'EC 번호' 예측, 공동연구팀이 딥러닝 기술로 효소의 기능을 신속하고 정확하게 예측하는 컴퓨터 방법론 'DeepEC'를... 이에 공동연구팀은 138만8606개의 단백질 서열과 EC 정보를 담은 바이오 빅데이터에 딥러닝 기술을... 
[기고_조동진 육군중령] AI 영상 분석모델의 가치, 조동진 합참 분석실험실 육군중령 인공지능(AI)은 딥러닝과 같은 데이터 학습 방법과 고성능 하드웨어(CPU... 특히 수년 전부터 민간 분야에서 활발하게 활용 중인 딥러닝 기반의 ‘객체검출(object detection)’ 방법은... 
[오토메이션 월드 2018 참가업체 인터뷰-⑫ 코그넥스코리아 조재휘 지사장] “..., 독보적인 비전 소프트웨어 알고리즘을 바탕으로 기존 비전 시스템뿐만 아니라 3D 및 딥러닝 기반의 비전... 및 딥러닝 기반의 비전 솔루션에 집중할 계획이다. 더불어 전통적인 주력 산업 분야인 전자산업 및 자동차... 
[#IT라운지] '포동' 반려견 물림사고 예방·보스아고라-로똔다 '파트너십'·딥..., 가상인간은 딥러닝 기반의 페이스 스왑 기술이 적용됐다. 페이스 스왑은 사진 혹은 영상에 있는 얼굴을 인식하여 얼굴 부분을 변환시키는 안면 교체 기술이다. 국내 최초로 실제 사람이 아닌 AI 기반으로 생성된 얼굴... 
"YH데이터베이스, 신제품 딥러닝 기반 이상금융거래 탐지 출시"," 와이-스마트딥(y-SmartDeep), 룰 기반과 딥러닝 기반 결합한 하이브리드 방식[보안뉴스 ] 다양한 보안... 빅데이터 딥러닝 제품인 ‘와이-스마트딥(y-SmartDeep)’ 신제품 출시를 통해 금융기관 및 공공기관 고객들과... "
[AI&딥러닝 서밋2018]딥러닝 또 한번의 한계돌파를 논한다," 딥러닝(Deep-Learning) 기술이 비약적 발전을 거듭하고 있다. 딥러닝 기술 발전 속도와 그간 도약 성과로 인해 정보통신기술(ICT) 분야 모든 기술이 변화하고 우리 생활도 바뀌고 있다. 향후 5년 뒤, 10년 뒤 미래 모습을... "
활용법을 찾아라, 김영록 전남지사가 최근 돌풍을 몰고온 딥러닝 AI를 행정에 적극 활용하고 빅데이터 관리에 나서라고 강력히... 특히 김 지사가 주문한 빅데이터 관리의 경우 전라남도에 대해 딥러닝 AI가 어떤 알고리즘으로 학습하는지... 
활용법을 찾아라, 김영록 전남지사가 최근 돌풍을 몰고온 딥러닝 AI를 행정에 적극 활용하고 빅데이터 관리에 나서라고 강력히... 특히 김 지사가 주문한 빅데이터 관리의 경우 전라남도에 대해 딥러닝 AI가 어떤 알고리즘으로 학습하는지... 
"에이치비, 딥러닝 플랫폼 ‘비브레인’ 출시", 최신 딥러닝과 머신러닝 기술을 지원 빅데이터 차트 솔루션 전문회사 에이치비에서 딥러닝 플랫폼 서비스인 ‘비브레인’(beeBrain)을 출시했다고 8일 밝혔다. 회사에 따르면 빅데이터와 딥러닝 분석에 특화된 에이치비의... 
"넥센테크, KETI와 '딥러닝 기반 도로객체 인식 기술' 공동 연구", 넥센테크는 7일 자회사인 '엔디엠(NDM)'이 전자부품연구원(KETI)과 '차량 탑재형 딥러닝(DEEP LEARNING) 기반 도로객체 인식플랫폼 기술' 개발을 위한 연구과제를 추진한다고 밝혔다. 딥러닝 기반 도로객체 인식 기술은... 
"유동훈 아이넷캅 CTO ""딥러닝 적용 고도화된 모바일·IoT 보안솔루션 출시 임..."," 특히 기술적인 측면에서도 머신러닝을 넘어 딥러닝 알고리즘을 적용해 솔루션 고도화를 이루어낸 한... ◇딥러닝 기반 모바일 백신 '온-백신'과 앱 분석 플랫폼 '온-앱스캔 서비스’ 출시 예정 유동훈 이사는 ""2017년... "
"철도연, 딥러닝 기반의 '자동 피킹·적재 시스템' 개발", 철도연이 개발한 이번 시스템은 △제품의 2D 이미지와 깊이 정보를 기반으로 딥러닝을 통해 제품을 정확하게 인식하는 기술 △인식한 제품을 집어서 잡는 피킹기술 △제품의 피킹형태 및 적재할 박스의 공간정보를 반영해... 
"김종수 한양대 교수, 새로운 딥러닝 학습 알고리즘 개발"," 효율적인 딥러닝 학습 알고리즘인 '킴-몬테칼로(Kim-Monte Carlo)'을 독자 아이디어로 개발해... 김종수 교수는 ""앞으로 킴-몬테칼로 알고리즘이 주된 딥러닝 학습 알고리즘으로 기존 역전파 방법을 대체해 전 세계 인공지능... "
"[제약 단신] 대웅제약, 대한민국신약개발상 대상 수상...국산 36호 신약 ‘엔..."," 이번 특허는 △예측 데이터를 이용한 전립선암 치료 계획 시스템 △시계열 검진 데이터를 이용한 딥러닝... 시계열 검진 데이터를 이용한 딥러닝 기반 전립샘암 재발예측 시스템은 전립선 특이항원검사(PSA, Prostate... "
"[이슈진단+] 초거대AI 두뇌, AI반도체가 키운다…GPU넘어 NPU로"," 알파고를 승리로 이끈 주역은 딥러닝 기술을 구현하는 데 쓰인 그래픽처리장치(GPU)였다. 당시... 삼성전자는 ""AI의 핵심인 딥러닝 알고리즘을 담당하는 NPU의 성능이 전작 대비 40% 이상 개선됐다""며 ""NPU 성능으로... "
유방암 더 정확히 탐지하는 '인공지능 초음파' 개발," 분할·분류하는 딥러닝 기반 다중 모달 융합 네트워크를 개발했다고 발표했다. 유방암은 3기... 분류하는 딥러닝(DL) 기법을 결합하는 방법을 제안했다. 먼저, 병변의 분할을 위해 가중 스킵 커넥션 방법을 사용해... "
조선대 컴퓨터공학과 신영서 학생 전자파학회 우수논문상 수상," 또한, 기존의 음향 객체 탐지 기술에서 많이 활용되는 RCNN 구조에서 트랜스포머(Transformer)까지 더하여 딥러닝 모델을 고도화했다. 신영서 석사과정생은 ""국내학술대회에서 좋은 결과를 내 기쁘다""며 ""딥러닝... "
"SK텔레콤, 딥러닝 기반 스팸 문자 차단 서비스 제공"," SK텔레콤이 딥러닝 기반의 스팸 문자 차단 기술 상용화에 성공, 급변하는 스팸 문자 유형에 신속히 대응할 수 있는 길을 열었다고 11일 밝혔다. 지난해 9월 딥러닝을 통한 스팸 문자 차단하는 기술을 최초 개발해... "
독보적 딥러닝 영상인식 SW로 세계 공략, 딥러닝 기반 차량 영상인식 기술을 보유한 스트라드비젼은 기술혁신 부문에서 올해 첫 수상의 영예를... 인식하고 딥러닝 알고리즘을 통해 분석 성능을 높이는 것이다. 또 이를 차량용 반도체에 최적화시키는 세 가지... 
"""두뇌는 챗GPT, 형상은 AI 휴먼...괜찮나요?""", 좀 더 전문적으로 엄밀히 말하면 딥러닝(Deep Learning)이다. 이 칼을 어디에 어떻게 쓸 것인지의 문제가 많은... 구글이 딥마인드를 인수해 알파고를 선보이며 딥러닝(Deep Learning)의 위력을 과시했던 그 순간부터 챗GPT가... 
"라온피플, AI 딥러닝 탑재한 운전자 모니터링 시스템 ‘아이킵’ 공개…“영업...", 16일 라온피플 관계자는 “아이킵은 AI 딥러닝 기술을 탑재한 운전자 안면 모니터링 시스템으로 주행 중... 이어 “인공지능(AI) 딥러닝기술과 고출력 IR 비전시스템을 적용해 선글라스와 마스크 착용 시에도 운전자 감지... 
"라온버드, 딥러닝 서비스 라온에이드 출시", 딥러닝 프레임워크 개발사 라온버드는 누구나 쉽게 딥러닝을 활용할 수 있는 서비스 라온에이드를 출시했다고 20일 밝혔다. 알파고에서 활용된 기술로 널리 알려진 인공지능 기술 딥러닝은 최근 다양한 분야에... 
"노인 대상 기능성게임과 딥러닝, 한국게임학회 세미나 연다", 기능성게임과 딥러닝을 활용한 게임인공지능 개발 사례를 다룬다. 씨투몬스터 최진성 대표이사가... 이어서 게임인공지능 개발사례에서는 게임 클라이언트 분야 필수 기술 중 하나인 딥러닝 기반의 IK(Inverse Kinematics)... 
"라이프시맨틱스, 전립선암 관련 AI솔루션 특허 2종 취득"," 이번 특허는 △예측 데이터를 이용한 전립선암 치료 계획 시스템 △시계열 검진 데이터를 이용한 딥러닝... '시계열 검진 데이터를 이용한 딥러닝 기반 전립선암 재발예측 시스템'은 전립선 특이항원검사(PSA, Prostate... "
[디지털 트랜스포메이션이 만들 내일] (25) 일상에서 빠르게 자리 잡고 있는 ..., AI와 함께 등장한 단어가 바로 ‘머신러닝’과 ‘딥러닝’입니다. 세가지 개념에 대해 헷갈려 할 수도... 끝으로 딥러닝은 스스로 학습한 뒤 결과물을 도출하도록 알고리즘을 구성하는 과정입니다. 이 3개 용어의... 
인공지능으로 뇌신경조절치료효과 상승," 이번 연구팀이 개발한 tDCS에는 딥러닝 기능을 활용한 뇌분할분석법이 적용됐다. 뇌영상치료계획 소프트웨어 뉴로핏 테스랩에 적용해 치료효과를 확인한 결과, 뇌 자극 위치와 전류치를 정확히 계산하고 선정해... "
[마소 391호] CNTK를 이용한 딥러닝 입문," 2015년 4월 마이크로소프트 리서치팀은 내부 프로젝트로 진행하던 딥러닝 프레임워크 'CNTK... 최근에는 2.x 버전으로 업그레이드되면서 성능 및 사용성이 크게 향상돼, 기존의 딥러닝... "
"라이프시맨틱스, 전립선암 발병·재발 예측 AI솔루션 특허 2종 취득"," 이번 특허는 △예측 데이터를 이용한 전립선암 치료 계획 시스템 △시계열 검진 데이터를 이용한 딥러닝... '시계열 검진 데이터를 이용한 딥러닝 기반 전립선암 재발예측 시스템'은 전립선 특이항원검사(PSA, Prostate... "
[디지털 트랜스포메이션이 만들 내일] (25) 일상에서 빠르게 자리 잡고 있는 ..., AI와 함께 등장한 단어가 바로 ‘머신러닝’과 ‘딥러닝’입니다. 세가지 개념에 대해 헷갈려 할 수도... 끝으로 딥러닝은 스스로 학습한 뒤 결과물을 도출하도록 알고리즘을 구성하는 과정입니다. 이 3개 용어의... 
인공지능으로 뇌신경조절치료효과 상승," 이번 연구팀이 개발한 tDCS에는 딥러닝 기능을 활용한 뇌분할분석법이 적용됐다. 뇌영상치료계획 소프트웨어 뉴로핏 테스랩에 적용해 치료효과를 확인한 결과, 뇌 자극 위치와 전류치를 정확히 계산하고 선정해... "
[마소 391호] CNTK를 이용한 딥러닝 입문," 2015년 4월 마이크로소프트 리서치팀은 내부 프로젝트로 진행하던 딥러닝 프레임워크 'CNTK... 최근에는 2.x 버전으로 업그레이드되면서 성능 및 사용성이 크게 향상돼, 기존의 딥러닝... "
"패스트캠퍼스, ‘2018 패캠 해커톤’ 개최 … 블록체인, 딥러닝, 비즈니스 분..."," 프리미엄 성인 실무 교육 회사 패스트캠퍼스 (공동대표 박지웅, 이강민)가 블록체인, 딥러닝, 비즈니스... 올해로 1회를 맞이하는 ‘2018 패캠 해커톤’은 블록체인, 딥러닝, 사업개발 등 해당 분야에 관심 있는 다양한... "
분당서울대병원 박상준 교수팀 '망막안저사진 판독' 딥러닝 알고리즘 개발," 판독해주는 딥러닝 알고리즘을 개발했다고 밝혔다. 이는 출혈, 드루젠 등 황반 이상, 맥락막 이상, 망막... 왔지만, 딥러닝 알고리즘은 실제 의사가 판독할 때처럼 망막안저사진에서 관찰되는 다양한 이상소견들을... "
"에이치비, 딥러닝 플랫폼 서비스 ‘비브레인’ 출시", 최근 딥러닝과 머신러닝 분석기술을 현대 비즈니스 산업분야에 적용해 복잡한 문제를 해결하고 정교한... 이러한 가운데 빅데이터 차트 솔루션 전문회사 ㈜에이치비(대표 강명수)가 딥러닝 플랫폼 서비스 비브레인(b... 
"""거대한 언어 뭉치...상상 이상 도구 챗GPT"""," 이날 강연은 인공지능, 기계학습, 딥러닝 등 기초적인 용어 설명부터 시작했다. 인공지능은 지능을 가진... 뉴럴 네트워크는 사람의 뇌가 동작하는 방식과 비슷한 알고리즘을 말하며, 딥러닝은 다층의 레이어(층)를... "
의료비 절감 '딥러닝'에서 답 찾다," 인공신경망에 빅데이터를 결합한 '딥러닝(deep learning)'으로 심혈관질환, 당뇨병 등의 질환을 예측해... 방법보다 딥러닝을 이용해 질환을 예측하는 것이 예방 정책이나 관리전략을 고안하는 데 더 효과적이며... "
"소포스, '인터셉트X' 딥러닝 기술로 예측방어와 익스플로잇 공격 차단", (Sophos)는 딥러닝(Deep Learning) 기술을 적용한 차세대 앤드포인트 솔루션 '인터셉트 X'를 출시했다. 1월31일 소포트 한국지사는 강남 트레이드 센터에서 '인터셉트 X 발표 기자간담회'를 열고 딥러닝 신경 네트워크를 통한... 
"라이프시맨틱스, 전립선암 예측 AI 솔루션 관련 특허 2종 취득"," 이용한 딥러닝 기반 전립선암 재발 예측 시스템 2종이다. ‘예측 데이터를 이용한 전립선암 치료 계획... ‘시계열 검진 데이터를 이용한 딥러닝 기반 전립선암 재발예측 시스템’은 전립선 특이항원 검사(PSA, Prostate... "
[디지털 트랜스포메이션이 만들 내일] (25) 일상에서 빠르게 자리 잡고 있는 ..., AI와 함께 등장한 단어가 바로 ‘머신러닝’과 ‘딥러닝’입니다. 세가지 개념에 대해 헷갈려 할 수도... 끝으로 딥러닝은 스스로 학습한 뒤 결과물을 도출하도록 알고리즘을 구성하는 과정입니다. 이 3개 용어의... 
인공지능으로 뇌신경조절치료효과 상승," 이번 연구팀이 개발한 tDCS에는 딥러닝 기능을 활용한 뇌분할분석법이 적용됐다. 뇌영상치료계획 소프트웨어 뉴로핏 테스랩에 적용해 치료효과를 확인한 결과, 뇌 자극 위치와 전류치를 정확히 계산하고 선정해... "
[마소 391호] CNTK를 이용한 딥러닝 입문," 2015년 4월 마이크로소프트 리서치팀은 내부 프로젝트로 진행하던 딥러닝 프레임워크 'CNTK... 최근에는 2.x 버전으로 업그레이드되면서 성능 및 사용성이 크게 향상돼, 기존의 딥러닝... "
"패스트캠퍼스, ‘2018 패캠 해커톤’ 개최 … 블록체인, 딥러닝, 비즈니스 분..."," 프리미엄 성인 실무 교육 회사 패스트캠퍼스 (공동대표 박지웅, 이강민)가 블록체인, 딥러닝, 비즈니스... 올해로 1회를 맞이하는 ‘2018 패캠 해커톤’은 블록체인, 딥러닝, 사업개발 등 해당 분야에 관심 있는 다양한... "
분당서울대병원 박상준 교수팀 '망막안저사진 판독' 딥러닝 알고리즘 개발," 판독해주는 딥러닝 알고리즘을 개발했다고 밝혔다. 이는 출혈, 드루젠 등 황반 이상, 맥락막 이상, 망막... 왔지만, 딥러닝 알고리즘은 실제 의사가 판독할 때처럼 망막안저사진에서 관찰되는 다양한 이상소견들을... "
"에이치비, 딥러닝 플랫폼 서비스 ‘비브레인’ 출시", 최근 딥러닝과 머신러닝 분석기술을 현대 비즈니스 산업분야에 적용해 복잡한 문제를 해결하고 정교한... 이러한 가운데 빅데이터 차트 솔루션 전문회사 ㈜에이치비(대표 강명수)가 딥러닝 플랫폼 서비스 비브레인(b... 
"""거대한 언어 뭉치...상상 이상 도구 챗GPT"""," 이날 강연은 인공지능, 기계학습, 딥러닝 등 기초적인 용어 설명부터 시작했다. 인공지능은 지능을 가진... 뉴럴 네트워크는 사람의 뇌가 동작하는 방식과 비슷한 알고리즘을 말하며, 딥러닝은 다층의 레이어(층)를... "
의료비 절감 '딥러닝'에서 답 찾다," 인공신경망에 빅데이터를 결합한 '딥러닝(deep learning)'으로 심혈관질환, 당뇨병 등의 질환을 예측해... 방법보다 딥러닝을 이용해 질환을 예측하는 것이 예방 정책이나 관리전략을 고안하는 데 더 효과적이며... "
"소포스, '인터셉트X' 딥러닝 기술로 예측방어와 익스플로잇 공격 차단", (Sophos)는 딥러닝(Deep Learning) 기술을 적용한 차세대 앤드포인트 솔루션 '인터셉트 X'를 출시했다. 1월31일 소포트 한국지사는 강남 트레이드 센터에서 '인터셉트 X 발표 기자간담회'를 열고 딥러닝 신경 네트워크를 통한... 
의료비 절감 '딥러닝'에서 답 찾다," 인공신경망에 빅데이터를 결합한 '딥러닝(deep learning)'으로 심혈관질환, 당뇨병 등의 질환을 예측해... 방법보다 딥러닝을 이용해 질환을 예측하는 것이 예방 정책이나 관리전략을 고안하는 데 더 효과적이며... "
"소포스, '인터셉트X' 딥러닝 기술로 예측방어와 익스플로잇 공격 차단", (Sophos)는 딥러닝(Deep Learning) 기술을 적용한 차세대 앤드포인트 솔루션 '인터셉트 X'를 출시했다. 1월31일 소포트 한국지사는 강남 트레이드 센터에서 '인터셉트 X 발표 기자간담회'를 열고 딥러닝 신경 네트워크를 통한... 
딥러닝 기반 영상복원...영화처럼 CCTV 화면 크고 선명하게 본다, 교수가 딥러닝 기반 영상 알고리즘에 대해 연구원들과 웃으며 대화를 나누고 있다. /한국연구재단... 예전에는 영화에서나 볼 수 있던 기술이었지만 이제는 인공지능(AI) 딥러닝 기법을 활용해 지능형 CCTV를 통해... 
"소포스, 딥러닝 맬웨어 대응솔루션으로 한국 노크"," 엔드포인트 보안 '인터셉트X' 업그레이드, 현지화해 국내 출시 영국 보안솔루션 업체 소포스가 딥러닝기반... 이어 인터셉트X에 2017년 1월 인수한 딥러닝 맬웨어탐지기술 스타트업 '인빈시아'의 기술을 투입했다. 소포스는... "
"""딥러닝 기반 예측방어로 엔드포인트 보안 시장 평정한다"""," ""업계에서 유일한 딥러닝 기반 엔드포인트 보안 기술로 글로벌 시장 평정하고 있다."" 수밋 밴잘(Sumit Bansal) 소포스 아시아 및 한국 총괄이사는 이같이 말하며 ""소포스는 딥러닝 기술을 이용한 예측방어 전략으로... "
"중국 보안업체 메그비, 딥러닝 프레임워크 메그엔진 선봬", 중국 보안기술기업 메그비(Megvii)가 26일(현지시간) 산업∙상업용 AI 솔루션 브레인(Brain)++에 적용될 딥러닝 프레임워크 메그엔진(MegEngine)을 선보인다고 밝혔다. 메그비의 브레인++의 3대 주요 구성요소는... 
"신한금융투자, 리스크 관리 시스템에 딥러닝 기반 기업위험 예측 모형 도입", 신한금융투자는 리스크 관리 시스템에 딥러닝 기반의 '기업위험 예측 모형'을 도입했다고 5일 밝혔다. 신한금융투자 빅데이터센터가 개발한 딥러닝 기반의 기업위험 예측 모형은 개별 기업의 상장폐지 및 관리종목... 
"相卽相入 불교진리, 딥러닝에 담겨 있다"," 4차산업 핵심기술, 인공지능에 기반 인공지능 발전은 자가학습 '딥러닝' 근거 수단과 도구 아닌 동반자적... 구체적으로 살펴보자면, '머신러닝'과 '딥러닝' 기술을 들 수 있다. 우선, 머신러닝(Machine Learning; 기계학습)은... "
"신한금투, AI 딥러닝 기반 기업위험 예측 시스템 도입", 신한금융투자는 '인공지능(AI) 딥러닝 기반의 기업 위험 예측 모형'을 리스크 관리 시스템에 도입했다고 5일... 또 거시경제 정보ㆍ산업정보 등 총 500여개 데이터를 딥러닝 기법으로 분석해 경제순환주기 등을 반영한 기업... 
"애브넷-밉솔로지, FPGA 딥러닝 추론 가속 소프트웨어 APAC에 공개"," 이번 협약으로 밉솔로지의 딥러닝 추론 가속(Deep Learning Inference Acceleration) 솔루션이 아시아 소비자들에게도 제공되고, 애브넷의 IoT 생태계 또한 확장될 수 있을 전망이다. 지브라 솔루션은 기술적 복잡성을... "
"신한금투, AI 딥러닝 기반 기업위험 예측 시스템 도입", 신한금융투자는 '인공지능(AI) 딥러닝 기반의 기업 위험 예측 모형'을 리스크 관리 시스템에 도입했다고 5일... 또 거시경제 정보ㆍ산업정보 등 총 500여개 데이터를 딥러닝 기법으로 분석해 경제순환주기 등을 반영한 기업... 
"애브넷-밉솔로지, FPGA 딥러닝 추론 가속 소프트웨어 APAC에 공개"," 이번 협약으로 밉솔로지의 딥러닝 추론 가속(Deep Learning Inference Acceleration) 솔루션이 아시아 소비자들에게도 제공되고, 애브넷의 IoT 생태계 또한 확장될 수 있을 전망이다. 지브라 솔루션은 기술적 복잡성을... "
[비바100] #집스타그램 인기… 딥러닝 기술장착 홈퍼니싱 쇼핑플랫폼 '이지쇼..., #집스타그램 인기… 딥러닝 기술장착 홈퍼니싱 쇼핑플랫폼 '이지쇼핑' 형형색색의 핸드메이드 수납장... 이에 딥러닝 기반으로 전망이 밝은 리빙과 인테리어 분야의 상품을 추천해주는 전문 쇼핑 플랫폼을 창업하게 된... 
